id	curve	questions_per_day	mastery	days_to_retry_on_error	days_to_retry_on_success	score_on_error	score_on_success	created_at	updated_at	course_id
1	1	10	2	2	3	1	5	2019-09-03 00:00:00	2020-03-27 15:38:26	NULL
2	2	10	2	1	2	1	5	2019-09-03 00:00:00	2020-03-27 15:38:26	NULL
3	3	10	2	3	4	1	5	2019-09-03 00:00:00	2020-03-27 15:38:26	NULL
4	1	10	2	2	3	2	10	2020-02-17 14:17:59	2020-03-13 11:16:45	20
5	2	10	2	1	2	2	10	2020-02-17 14:17:59	2020-03-13 11:16:45	20
6	3	10	2	3	4	2	10	2020-02-17 14:17:59	2020-03-13 11:16:45	20
7	1	10	2	2	3	1	5	2019-09-03 00:00:00	2020-03-16 10:00:43	15
8	2	10	2	1	2	1	5	2019-09-03 00:00:00	2020-03-16 10:00:43	15
9	3	10	2	3	4	1	5	2019-09-03 00:00:00	2020-03-16 10:00:43	15
10	1	10	2	2	3	1	5	2019-09-03 00:00:00	2020-03-27 14:39:44	12
11	2	10	2	1	2	1	5	2019-09-03 00:00:00	2020-03-27 14:39:44	12
12	3	10	2	3	4	1	5	2019-09-03 00:00:00	2020-03-27 14:39:44	12
13	1	10	2	2	3	1	5	2019-09-03 00:00:00	2020-03-16 10:00:41	13
14	2	10	2	1	2	1	5	2019-09-03 00:00:00	2020-03-16 10:00:41	13
15	3	10	2	3	4	1	5	2019-09-03 00:00:00	2020-03-16 10:00:41	13
16	1	10	2	2	3	2	10	2019-09-03 00:00:00	2020-03-27 14:51:39	21
17	2	10	2	1	2	2	10	2019-09-03 00:00:00	2020-03-27 14:51:39	21
18	3	10	2	3	4	2	10	2019-09-03 00:00:00	2020-03-27 14:51:39	21
