id	parent	body	feedback	right	created_at	updated_at
24	5	C3a	{"blocks":[{"key":"53ftq","text":"The correct answer is A. This patient suffered from shock, most likely endotoxic shock due to gram-negative bacteremia. The endotoxin lipopolysaccharide (LPS) is found in the cell wall of gram-negative bacteria. LPS activates the alternative pathway of the complement cascade. The patient’s pulmonary edema contributes to the acute respiratory distress syndrome that accompanies septic shock. The C3a component of the complement cascade contributes to the hypotension and edema seen in endotoxic shock. ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":502,"style":"fontsize-12pt"},{"offset":0,"length":502,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 04:17:52	2019-09-05 04:17:52
25	5	C5a	{"blocks":[{"key":"f2qq9","text":" Answer B is incorrect. The C5a component of the complement cascade, activated by endotoxin, functions in neutrophil chemotaxis.   ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":128,"style":"fontsize-12pt"},{"offset":1,"length":128,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 04:17:52	2019-09-05 04:17:52
26	5	Hageman factor	{"blocks":[{"key":"e417s","text":" Answer C is incorrect. Endotoxin can directly activate Hageman factor, activating the coagulation cascade and leading to disseminated intravascular coagulation.   ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":161,"style":"fontsize-12pt"},{"offset":1,"length":161,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 04:17:52	2019-09-05 04:17:52
27	5	γ-Interferon	{"blocks":[{"key":"5pm32","text":" Answer D is incorrect. γ-Interferon is produced by T-lymphocytes and, among other functions, activates tumoricidal macrophages.  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":127,"style":"fontsize-12pt"},{"offset":1,"length":127,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 04:17:52	2019-09-05 04:17:52
28	5	Interleukin-1	{"blocks":[{"key":"fd8ek","text":" Answer E is incorrect. The cytokine interleukin-1, released by macrophages activated by endotoxin, causes fever.   ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":113,"style":"fontsize-12pt"},{"offset":1,"length":113,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 04:17:52	2019-09-05 04:17:52
29	5	Nitric oxide	{"blocks":[{"key":"cqgo6","text":" Answer F is incorrect. Nitric oxide, released by macrophages activated by endotoxin, causes hypotension (shock).  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":112,"style":"fontsize-12pt"},{"offset":1,"length":112,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 04:17:52	2019-09-05 04:17:52
30	2	Influenza virus	{"blocks":[{"key":"1k6cn","text":"Antigenic shift can be the result of a direct jump from an unknown animal strain to humans or a reassortment of two or more influenza viruses\nwithin the same cell. Evidence suggests that the 1918 influenza pandemic was the result of a direct jump from pigs to humans. This type of mixing is most commonly thought to be between a human and an avian strain mixing in an intermediary porcine host, thus leading to the term “avian flu.” ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":267,"style":"fontsize-12pt"},{"offset":0,"length":267,"style":"fontfamily-Arial, sans-serif"},{"offset":268,"length":164,"style":"color-rgb(24,32,38)"},{"offset":268,"length":164,"style":"bgcolor-rgb(255,255,255)"},{"offset":268,"length":164,"style":"fontsize-14"},{"offset":268,"length":164,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 04:26:02	2019-09-05 04:26:02
31	4	Exotoxin binding to desmoglein in desmosome	{"blocks":[{"key":"di0fa","text":"Desmosomes are cell structures specialized for cell-to-cell adhesion. The exotoxins that are released bind to a molecule within the desmosome called desmoglein 1, thereby disrupting cell adhesion. In staphylococcal scalded skin syndrome, the epidermis separates at the stratum granulosum due to the binding of exotoxins to desmosomes in this layer.","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	1	2019-09-05 04:28:29	2019-09-05 04:28:29
32	6	Anti-hepatitis B surface antibody test	{"blocks":[{"key":"2pvme","text":"Answer A is incorrect. The presence of anti-HB surface antibody indicates immunity to the hepatitis B virus, either by previous exposure or by vaccination. While active or chronic hepatitis B can be vertically transmitted to the fetus, it does not cause congenital anomalies. Furthermore, hepatitis B is not associated with genital lesions.","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":340,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:46:42	2019-09-05 14:46:42
33	6	Giemsa stain for cytoplasmic inclusions	{"blocks":[{"key":"12rfp","text":"Answer B is incorrect. Cytoplasmic inclusions seen on Giemsa or fluorescent antibodystained smear suggest Chlamydia trachomatis. Although Chlamydia can be vertically transmitted to the fetus at delivery, it is not associated with congenital anomalies or with painful vesicular lesions. It can, however, cause blindness and pneumonia in the newborn and should be treated during pregnancy.","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":387,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	0	2019-09-05 14:46:42	2019-09-05 14:46:42
