id	course	name	finished	created_at	updated_at
3	9	Quiz 1	1	2019-09-06 12:06:43	2019-09-08 22:47:35
4	9	Microbiology 1	1	2019-09-06 22:44:20	2019-09-09 21:37:12
5	2	Micro 2	1	2019-09-09 13:41:52	2019-09-09 22:53:24
6	2	Microbiology 3	1	2019-09-09 22:54:03	2019-09-10 13:43:28
7	9	Micro Test	1	2019-09-09 23:02:18	2019-09-09 23:05:51
8	9	Micro Test 2	1	2019-09-09 23:06:22	2019-09-10 13:43:29
9	2	Microbiology 4	1	2019-09-10 13:44:01	2019-09-30 13:42:03
10	9	Test 1	1	2019-09-16 16:49:59	2019-09-26 15:34:43
11	9	test2	1	2019-09-25 12:14:58	2019-09-25 12:32:30
12	9	Test3	1	2019-09-25 12:33:22	2019-09-26 15:34:52
13	9	Test4	1	2019-09-25 13:26:26	2019-09-26 15:34:56
14	9	Test Sample	1	2019-09-25 13:42:08	2019-09-26 15:34:57
15	9	test5	1	2019-09-25 13:45:50	2019-09-25 14:56:22
16	9	Sample Quiz	1	2019-10-01 06:40:08	2019-10-03 06:20:30
17	9	Cardiology Quiz	1	2019-10-01 09:17:48	2019-10-03 06:20:29
18	9	Hybrid Questions	1	2019-10-01 11:07:07	2019-10-01 11:07:17
19	9	HYBRID QUESTIONS 2	1	2019-10-01 11:11:24	2019-10-03 06:20:27
20	9	Gandhi Exam	1	2019-10-02 07:37:20	2019-10-03 06:20:25
21	9	Test 2	1	2019-10-02 20:26:04	2019-10-02 20:26:53
22	9	Quiz Dated: 03/10/2019	1	2019-10-03 06:25:26	2019-10-04 06:19:24
23	9	Question Types	1	2019-10-03 07:15:30	2019-10-04 06:19:22
24	9	Random Questions	1	2019-10-03 07:35:38	2019-10-04 06:19:21
25	9	3rd Oct 2019 06:03 	1	2019-10-03 12:33:17	2019-10-04 06:19:20
27	9	MF Tests	1	2019-10-04 08:27:13	2019-10-21 09:27:18
28	2	Microbiology 5	1	2019-10-14 19:22:23	2019-10-21 13:16:07
29	9	All Type Questions	1	2019-10-15 10:26:56	2019-10-21 09:27:22
30	9	Correct And Wrong Answers	1	2019-10-16 05:14:53	2019-10-21 09:27:23
42	10	MiroBiology Quiz Test 1	1	2019-10-25 11:32:07	2019-10-25 11:32:07
43	13	Biochemistry 101 Quiz	0	2020-01-09 22:09:51	2020-01-09 22:09:51
44	15	Anatomy 101.1	0	2020-01-10 03:33:32	2020-01-10 03:33:32
45	15	Cell Bio 101	1	2020-01-11 03:34:10	2020-01-11 18:52:07
46	12	Cell Biology 101.1	0	2020-01-11 18:52:40	2020-01-11 18:52:40
47	20	AUA Foundations Test 1.0	1	2020-02-17 03:09:23	2020-02-17 16:09:46
48	20	AUA Foundations Quiz	1	2020-02-17 16:10:28	2020-02-17 23:05:20
49	20	AUA Foundations 1-30 Live	1	2020-02-17 23:06:44	2020-04-20 13:07:05
50	21	AUA MSK 1-57 Live	1	2020-03-27 01:41:57	2020-03-27 02:11:02
51	21	AUA MSK 1-57 Live 2	1	2020-03-27 12:21:53	2020-03-27 12:21:53
52	21	AUA MSK 1-57 Live 3	0	2020-03-27 18:37:25	2020-03-27 18:37:25
53	22	AUA Neuro 1-35 Live 1	0	2020-04-21 18:44:21	2020-04-21 18:44:21
54	23	AUA GIT 1-45 Live 1	0	2020-05-27 00:05:47	2020-05-27 00:05:47
