id	parent	type	name	body	created_at	updated_at
1	1	1	Question 1.0	{"blocks":[{"key":"17sc1","text":"Influenza virus type A usually produces a mild, self-limited febrile illness in the general population. However, worldwide epidemics have occurred at different times in history due to rapid changes in viral genetic makeup.  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":223,"style":"fontsize-12pt"},{"offset":0,"length":224,"style":"fontsize-14"},{"offset":0,"length":224,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}},{"key":"fc3d6","text":"Which of the following is the most important reason why these sporadic worldwide epidemics occur?  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":97,"style":"fontsize-12pt"},{"offset":0,"length":99,"style":"fontsize-14"},{"offset":0,"length":99,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 03:40:34	2019-09-05 23:34:49
2	1	3	Question 1.1	{"blocks":[{"key":"ftjle","text":"Which microbe is most often described as making an antigenic shift?","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":67,"style":"fontfamily-Arial"},{"offset":0,"length":67,"style":"fontsize-14"}],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 03:52:54	2019-09-05 03:52:54
3	1	4	Question 2.0	{"blocks":[{"key":"blheo","text":" A neonate with purulent umbilical discharge for 1 day presents with fever, irritability, and diffuse flushing. One day later she is covered in large, fluid-filled blisters that rupture easily, leaving raw red areas beneath. Gram stain of a peripheral blood smear is shown in the image.  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":288,"style":"fontfamily-Arial"},{"offset":1,"length":286,"style":"fontsize-12pt"}],"entityRanges":[],"data":{}},{"key":"dlt98","text":"This set of symptoms is due to separation at what layer of skin?  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":65,"style":"fontsize-12pt"},{"offset":0,"length":66,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}},{"key":"bm9kq","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"bfvu7","text":" ","type":"atomic","depth":0,"inlineStyleRanges":[],"entityRanges":[{"offset":0,"length":1,"key":0}],"data":{}},{"key":"fhlit","text":" ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":1,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{"0":{"type":"IMAGE","mutability":"MUTABLE","data":{"src":"http://api.reel-lms.com/images/hOgaejDPF7LMfCUDtz40.JPG","height":"auto","width":"auto","alignment":"left"}}}}	2019-09-05 04:04:41	2019-09-05 15:01:36
4	1	3	Question 2.1	{"blocks":[{"key":"56vb3","text":"What is the mechanism of action of the epidermolytic toxins A and B from Staphylococcus aureus in staphylococcal scalded skin syndrome?  ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":39,"length":96,"style":"color-rgb(24,32,38)"},{"offset":39,"length":96,"style":"bgcolor-rgb(255,255,255)"},{"offset":39,"length":96,"style":"fontsize-14"},{"offset":39,"length":96,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 04:07:49	2019-09-05 04:11:21
5	1	1	Question 3.0	{"blocks":[{"key":"dj1u0","text":"Twenty-four hours after placement of a catheter, a hospitalized patient develops a fever and chills. Within 1 hour her systolic blood pressure falls 30 points and she develops swelling in her extremities. Despite valiant efforts by the hospital staff, the patient dies. X-ray of the patient’s lungs taken only hours before she passed away shows pulmonary edema. ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":362,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}},{"key":"fj128","text":"Which of the following mediators of this patient’s disease process is most likely responsible for the pathology described?","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":122,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 04:17:52	2019-09-05 04:17:52
6	1	1	Question 4.0	{"blocks":[{"key":"2dvna","text":" A 31-year-old pregnant woman comes to the physician because of painful vesicular lesions that have recently appeared on her genitalia. ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":1,"length":135,"style":"fontsize-12pt"},{"offset":1,"length":135,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}},{"key":"8c5ls","text":"A positive result on which of the following diagnostic tests would mean that her baby is at risk for congenital anomalies?","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":122,"style":"fontsize-12pt"},{"offset":0,"length":122,"style":"fontfamily-Arial, sans-serif"}],"entityRanges":[],"data":{}},{"key":"7udpi","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 14:46:42	2019-09-05 14:46:42
7	1	4	Question 5.0	{"blocks":[{"key":"fkv6s","text":"A 36-year-old man comes to the physician complaining of an aching back, high fever, and vomiting of dark material. He is obviously ill and states that he has felt very poorly for approximately 1 week. Physical examination shows that the patient has a temperature of 39° C (102.2° F) and icteric sclera. The patient recently returned from a trip on safari in Africa. If a liver biopsy were done, it would show the following pathology. ","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":434,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}},{"key":"3l79e","text":"What are the names of the eosinophilic globules shown in this image?","type":"unstyled","depth":0,"inlineStyleRanges":[{"offset":0,"length":68,"style":"fontfamily-Arial"}],"entityRanges":[],"data":{}},{"key":"45m70","text":" ","type":"atomic","depth":0,"inlineStyleRanges":[],"entityRanges":[{"offset":0,"length":1,"key":0}],"data":{}},{"key":"571ph","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"avsan","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{"0":{"type":"IMAGE","mutability":"MUTABLE","data":{"src":"http://api.reel-lms.com/images/0HHF8okRaoqcYOVO2NqU.JPG","height":"auto","width":"auto","alignment":"left"}}}}	2019-09-05 14:52:33	2019-09-05 14:52:33
8	1	1	Question 6.0	{"blocks":[{"key":"a8klm","text":"A 55-year-old man comes to his physician with a tender, swollen, and erythematous left knee. He has limited range of motion in his leg. On aspiration of the synovial fluid from his knee, the fluid is found to be yellow and cloudy and has 150,000 neutrophils/mm3. Gram stain of the aspirate shows gram-positive cocci in clusters. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"aj4mt","text":"The organism most likely responsible for this patient’s symptoms has which of the following properties?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"efj91","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 14:56:29	2019-09-05 14:56:29
9	1	4	Question 7.0	{"blocks":[{"key":"a4i0o","text":"An 8-year-old boy is brought to his pediatrician by his parents because of a fever and a sore throat. On examination, he has tonsillar exudates and swollen, tender anterior cervical nodes. His parents report no history of cough. Gram stain of the tonsillar exudate reveals gram-positive cocci. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"4tmkp","text":"Which of the following describes the organism most likely causing this patient’s symptoms?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"ch2r9","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 15:15:47	2019-09-05 15:15:47
10	1	1	Question 8.0	{"blocks":[{"key":"6bvjo","text":"A 30-year-old sexually active woman presents with a painful ulcer on her external genitalia and bilateral inguinal lymphadenopathy. A Tzanck smear from the vesicle fails is negative, and polymerase chain reaction analysis of viral DNA is negative. A VDRL assay is also negative. ","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"aar3a","text":"Which of the following medications would be most helpful to this patient?","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}},{"key":"36b8c","text":"","type":"unstyled","depth":0,"inlineStyleRanges":[],"entityRanges":[],"data":{}}],"entityMap":{}}	2019-09-05 15:36:11	2019-09-05 15:36:11
